"location","year","season","tmax_avg"
"liestal",1994,"Summer",270.271739130435
"liestal",1994,"Fall",158.725274725275
"liestal",1995,"Winter",78.4333333333333
"liestal",1995,"Spring",151.79347826087
"liestal",1995,"Summer",251.413043478261
"liestal",1995,"Fall",154.582417582418
"liestal",1996,"Winter",40.7252747252747
"liestal",1996,"Spring",147.978260869565
"liestal",1996,"Summer",241.945652173913
"liestal",1996,"Fall",141.351648351648
"liestal",1997,"Winter",47.4222222222222
"liestal",1997,"Spring",169.413043478261
"liestal",1997,"Summer",248.228260869565
"liestal",1997,"Fall",162.175824175824
"liestal",1998,"Winter",81.8333333333333
"liestal",1998,"Spring",168.652173913043
"liestal",1998,"Summer",254.510869565217
"liestal",1998,"Fall",140.626373626374
"liestal",1999,"Winter",57.4
"liestal",1999,"Spring",168.358695652174
"liestal",1999,"Summer",249.20652173913
"liestal",1999,"Fall",152.175824175824
"liestal",2000,"Winter",70.3516483516484
"liestal",2000,"Spring",176.663043478261
"liestal",2000,"Summer",252.04347826087
"liestal",2000,"Fall",167.043956043956
"liestal",2001,"Winter",78.3555555555556
"liestal",2001,"Spring",159.79347826087
"liestal",2001,"Summer",257.826086956522
"liestal",2001,"Fall",155.494505494505
"liestal",2002,"Winter",69.9
"liestal",2002,"Spring",166.717391304348
"liestal",2002,"Summer",256.858695652174
"liestal",2002,"Fall",155.923076923077
"liestal",2003,"Winter",52.3444444444444
"liestal",2003,"Spring",183.608695652174
"liestal",2003,"Summer",306.70652173913
"liestal",2003,"Fall",153.010989010989
"liestal",2004,"Winter",59.4175824175824
"liestal",2004,"Spring",157.478260869565
"liestal",2004,"Summer",252.217391304348
"liestal",2004,"Fall",156.714285714286
"liestal",2005,"Winter",44.3777777777778
"liestal",2005,"Spring",164.445652173913
"liestal",2005,"Summer",253.760869565217
"liestal",2005,"Fall",162
"liestal",2006,"Winter",32.4
"liestal",2006,"Spring",149.25
"liestal",2006,"Summer",263.739130434783
"liestal",2006,"Fall",180.43956043956
"liestal",2007,"Winter",88.3222222222222
"liestal",2007,"Spring",191.565217391304
"liestal",2007,"Summer",244.239130434783
"liestal",2007,"Fall",146.186813186813
"liestal",2008,"Winter",77.4065934065934
"liestal",2008,"Spring",160.130434782609
"liestal",2008,"Summer",251.641304347826
"liestal",2008,"Fall",145.186813186813
"liestal",2009,"Winter",39.1555555555556
"liestal",2009,"Spring",176.554347826087
"liestal",2009,"Summer",259.217391304348
"liestal",2009,"Fall",164.186813186813
